run,tier,round,location_id,predicted_latitude,predicted_longitude,coordinate_status,recomputed_error_m,reported_distance_m,report,heading,source_record,notes
1,easy,2,loc_002,52.52050541728094,13.41489108643459,recovered_original_map_click,18.93,19.0,reports/NAUTILUS_ASTRA_LOW_RUN_20260906.md,Round 2,europe-easy/loc-002/2026-09-06T21-22-09-210Z__gpt-6-astra-low-r1-20260906__interactive-panorama__round-2.json,"Initial cues: Berlin TV tower; U Alexanderplatz sign; Galeria; German logistics text; bicycles and tram corridor. Initial belief Berlin Alexanderplatz, very high confidence.
Provisional Germany then Berlin/Alexanderplatz marker verified. Rotation identified Saturn and Haus des Lehrers across junction. Satellite revealed bicycle island between Grunerstrasse carriageways, correcting initial building-side sidewalk interpretation. Final marker visibly on island near nextbike, southeast edge. Submitted ~1:05 remaining after full orientation check.
Official distance 19 m; settled +5000 XP. Result flag was northeast of guessed point. Recorder SAVE ERROR Round 2: prediction JSON saved but video failed; next round will attempt recording; HUD 1/8 saved. Coordinator notified.
Controller incident: reopening collapsed map relocates marker even at apparent layer button; corrected to island and verified immediately before submission."
1,easy,8,loc_008,60.86373182701154,7.114743731772491,recovered_original_map_click,176.68,177.0,reports/NAUTILUS_ASTRA_LOW_RUN_20260906.md,"Easy R8 — Flåm, Norway",europe-easy/loc-008/2026-09-06T21-43-36-801Z__gpt-6-astra-low-r1-20260906__interactive-panorama__round-8.json,"Initial visible cues: FLÅM gate, Norwegian flag, steep fjord mountains, waterfront fencing, timber picnic shelter. Initial belief Flåm harbor, high confidence. Provisional Norway marker corrected to Flåm after map inertia/control delay. Final persisted marker parking area west of Flåm harbor; intended refinement toward harbor did not complete. Result 177 m, settled +4999 XP; recorder SAVED 6/8. Controller incident: context transition consumed remaining time and round auto-submitted with a valid marker. This was not an intentional early submission.
Screenshot: NAUTILUS_ASTRA_LOW_EASY_R8_RESULT_20260906.png."
1,medium,5,loc_013,40.21565485891969,-8.43404862081963,recovered_original_map_click,26.13,26.0,reports/NAUTILUS_ASTRA_LOW_RUN_20260906.md,Medium R5 — Coimbra,europe-medium/loc-013/2026-09-06T22-15-28-326Z__gpt-6-astra-low-r1-20260906__interactive-panorama__round-5.json,"Initial cues: R. Figueira da Foz, Portuguese plates and Privativo sign, granite trim, tiled facade, old urban street. Portugal high, Coimbra moderate-low initially. Street located in Santa Cruz; provisional city then street pin verified. Final marker at southern parking access, building geometry interpretation placed it 26 m west of actual. Submitted ~0:28. Result 26 m, +5000 XP, SAVED 5/9. Screenshot NAUTILUS_ASTRA_LOW_MEDIUM_R5_RESULT_20260906.png."
1,medium,6,loc_014,59.28654465773255,15.227031825233727,recovered_original_map_click,148227.46,148200.0,reports/NAUTILUS_ASTRA_LOW_RUN_20260906.md,"Medium R6 — Sweden, city miss",europe-medium/loc-014/2026-09-06T22-19-57-984Z__gpt-6-astra-low-r1-20260906__interactive-panorama__round-6.json,"Initial cues: Bergagatan, Swedish wood houses/red tiles, white EU plates, hedges, unmarked residential lane. Sweden high confidence, Örebro low regional hypothesis. Provisional Örebro verified, movement reached Birkagatan but no city name found. Final northern Örebro residential pin, no street-pair match. Submitted ~0:25. Result 148.2 km, +4311 XP, SAVED 6/9; actual Uppsala. Geographic city error. Screenshot NAUTILUS_ASTRA_LOW_MEDIUM_R6_RESULT_20260906.png."
1,medium,7,loc_015,58.35263685839751,26.724959512922894,recovered_original_map_click,611.16,611.0,reports/NAUTILUS_ASTRA_LOW_RUN_20260906.md,Medium R7 — Tartu,europe-medium/loc-015/2026-09-06T22-24-12-756Z__gpt-6-astra-low-r1-20260906__interactive-panorama__round-7.json,"Initial cues: Sepakuru tn, gabled homes, patched road, timber poles, metal fences. Estonia high, Tartu moderate. Provisional Tartu then Ropka map refinement; failed to reach Sepakuru south of Sepa. Final Jalakakuru residential pin. Result 611 m, +4997 XP. Recorder SAVE ERROR: JSON saved, video failed, HUD 6/9. Controller incident: repeated map operations took 3-10 seconds; last screenshot 0:11 but submit click opened result rounds overlay, suggesting timer expired before click landed. Valid intended pin persisted. Geographic street miss separately. Screenshot NAUTILUS_ASTRA_LOW_MEDIUM_R7_RESULT_20260906.png."
2,easy,4,loc_004,48.81265123065117,14.312995866423003,recovered_original_map_click,5.63,6.0,reports/NAUTILUS_ASTRA_LOW_RUN2_20260907.md,Easy R4,europe-easy/loc-004/2026-09-07T17-26-36-898Z__gpt-6-astra-low-r2-20260907__interactive-panorama__round-4.json,"Initial five cues: saint statue holding cross; elevated castle passage; red-roof town in river bend; weir below; pointed Gothic church and wooded hills. Initial belief: Cesky Krumlov castle Cloak Bridge, Czechia, 98%.
Final: Plastovy most (Cloak Bridge), east end beside castle. Verified marker on labeled bridge; river bend/church view agrees. Confidence 95% exact bridge.
Settled result: 6 m, 5000 XP. SAVE ERROR JSON saved/video failed, HUD 2/8; parent notified."
2,medium,4,loc_012,50.98135894153692,3.744757903039316,recovered_original_map_click,687.87,688.0,reports/NAUTILUS_ASTRA_LOW_RUN2_20260907.md,Medium R4,europe-medium/loc-012/2026-09-07T18-00-18-984Z__gpt-6-astra-low-r2-20260907__interactive-panorama__round-4.json,"Initial five cues: N44 road overlay; FOTO AKTIEF Dutch shop sign; Belgian white plates; red-brick ribbon houses with dark tiles; narrow red cycle lanes and overhead cables. Initial belief: Belgian Flanders, N44 near Aalter/Knesselare, 85%.
New clue: rotated road overlay resolves N444 (three digits), contradicting initial N44. Shift to south Ghent/Merelbeke corridor.
Final: N444 Hundelgemsesteenweg south of Merelbeke center, near Compudat/Supermarkt Maranni. Exact shop not found; regional confidence 75%, segment 25%. Road number now agrees, ribbon housing plausible; initial Aalter hypothesis rejected. Pin verified on N444.
Settled result: 688 m, 4997 XP. Actual Foto Aktief farther north near Bergbosstraat. Recorder SAVED 4/9."
2,medium,8,loc_016,49.20414873375578,18.722202473531173,recovered_original_map_click,58242.66,58200.0,reports/NAUTILUS_ASTRA_LOW_RUN2_20260907.md,Medium R8,europe-medium/loc-016/2026-09-07T18-16-57-727Z__gpt-6-astra-low-r2-20260907__interactive-panorama__round-8.json,"Initial five cues: Jelsova with Slovak-style diacritics road overlay; detached plaster houses with steep dark roofs; wooded Carpathian ridge; concrete utility poles; narrow patched residential road and wire/metal fences. Initial belief: Slovakia, northern valley near Zilina, 55%.
Final: Banova district, Zilina, near Jedlova. Jelsova not found; selected regional fallback from northern Slovak architecture and terrain. Country confidence 90%, city 35%, street very low. Main-road movement did not yield readable locality; marker verified in Zilina.
Settled result: 58.2 km, 4717 XP. Actual Banska Bystrica. Timer expired with verified regional marker; attempted Guess clicked result rounds button, dismissed. Recorder SAVED 8/9."
2,medium,9,loc_017,53.27622892354557,-9.092226893398921,recovered_original_map_click,3126.67,3127.0,reports/NAUTILUS_ASTRA_LOW_RUN2_20260907.md,Medium R9,europe-medium/loc-017/2026-09-07T18-22-51-469Z__gpt-6-astra-low-r2-20260907__interactive-panorama__round-9.json,"Initial five cues: yellow dashed edge lines; left-driving road layout; stone boundary walls; white detached bungalows and damp green vegetation; Irish-style overhead utilities and broad rural/suburban curve. Initial belief: Ireland, Galway outskirts, 55%.
Decisive sign: Rahoon/Newcastle visible on roadside poster, supports Galway west/northwest.
Final: Rahoon Road immediately west of Rahoon Cemetery, Galway. Rahoon/Newcastle poster confirms district; chosen curve matches broad roadside bend but exact house unverified (50%). Pin verified on Rahoon Road; city confidence 95%.
Settled result: 3,127 m, 4984 XP. Actual Boleybeg East on same western road corridor. Recorder competition recorded 9/9."
3,medium,6,loc_014,59.86643441100381,17.63401455883036,recovered_original_map_click,2321.63,2322.0,reports/NAUTILUS_ASTRA_LOW_RUN3_CLEAN_20260907.md,Medium R6,europe-medium/loc-014/2026-09-07T20-23-15-024Z__gpt-6-astra-low-r3-clean-20260907__interactive-panorama__round-6.json,"Initial five cues: Bergagatan road overlay, green vertical timber house, red tile roofs, tall hedges, narrow unmarked suburban street. Initial belief Sweden, southern/central residential town; high country confidence, low town confidence.
New clue: Birkagatan crossing Bergagatan; inferred Uppsala, unverified town before placement. Intended north Uppsala provisional marker persisted (visible on result); exact street not found. Contradiction check: Sweden solid, city hypothesis remained low confidence. Controller incident: timer reached result between screenshot observations without explicit Guess; last observed timer 1:32. Result: 2322 m, 4988 XP settled, truth Uppsala southwest. Recorder SAVED 6/9."
3,hard,4,loc_021,46.716011920862634,20.078026666161723,recovered_original_map_click,2430.77,2431.0,reports/NAUTILUS_ASTRA_LOW_RUN3_CLEAN_20260907.md,Hard R4,europe-hard/loc-021/2026-09-07T21-24-57-425Z__gpt-6-astra-low-r3-finish-20260907__interactive-panorama__round-4.json,"Initial five cues: perfectly flat agricultural plain; sunflower field; adjacent wheat and maize strips; slender overhead utility poles; narrow paved road with grassy shoulders. Initial hypothesis Hungary or northern Serbia, low-medium country confidence, low locality confidence.
New clues: visible road overlay 451 and van telephone +36 confirm Hungary. In-game map matched route 451 Kiskunfelegyhaza-Gater-Csongrad. After several forward moves a green kilometer marker 21 appeared; inferred distance measured from Kiskunfelegyhaza and adjusted pin farther east toward Csongrad, allowing for movement from initial point. High country/route confidence; medium corridor position, low exact point confidence.
Result: 2431 m, 4988 XP. Truth on same straight route451 southwest of final pin. Recorder SAVED 4/8."
